Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 60.96     27.42    27.42  1402232     0.02     0.03  draw_segment
 27.77     39.91    12.49 277584191     0.00     0.00  put_pixel
  5.32     42.30     2.39 277584191     0.00     0.00  pixel_color
  1.58     43.01     0.71 615557163     0.00     0.00  to_g
  1.41     43.65     0.64 412529008     0.00     0.00  to_trgb
  1.29     44.23     0.58 615557163     0.00     0.00  to_r
  1.26     44.79     0.57 615557163     0.00     0.00  to_b
  0.18     44.87     0.08     3091     0.03    12.45  mouse_translation
  0.10     44.92     0.05  2157566     0.00     0.00  isometric_projection
  0.08     44.95     0.04                             to_t
  0.04     44.97     0.02  1402232     0.00     0.00  segment_init
  0.04     44.99     0.02     3614     0.01    12.42  iterative_projection
  0.02     45.00     0.01     3614     0.00    12.42  put_map_to_window
  0.01     45.01     0.01     3614     0.00    12.42  map_projection
  0.01     45.01     0.01        1     5.00    17.43  print_map
  0.00     45.01     0.00      566     0.00    11.46  mouse_hook
  0.00     45.01     0.00      209     0.00     0.00  get_map_color
  0.00     45.01     0.00        2     0.00     0.00  chr_count_until
  0.00     45.01     0.00        1     0.00     0.00  destroy_hook
  0.00     45.01     0.00        1     0.00     0.00  free_map
  0.00     45.01     0.00        1     0.00     0.00  free_param
  0.00     45.01     0.00        1     0.00     0.00  get_the_file
  0.00     45.01     0.00        1     0.00     0.00  get_the_map
  0.00     45.01     0.00        1     0.00     0.00  init_mlx
  0.00     45.01     0.00        1     0.00     0.00  load_heights
  0.00     45.01     0.00        1     0.00     0.00  settings_init
  0.00     45.01     0.00        1     0.00     0.00  split_the_file
